WKT,ln_pop_den,pct_65_over,pct_age_18_29,pct_bach,pct_black,pct_fb,pct_hisp,pct_uninsured,dem_share,name,Intercept,X,Y,se0,b0,sepct_black,bpct_black,sepct_65_over,bpct_65_over,sepct_age_18_29,bpct_age_18_29,sepct_fb,bpct_fb,sepct_uninsured,bpct_uninsured,sepct_bach,bpct_bach,sepct_hisp,bpct_hisp,seln_pop_den,bln_pop_den
"POLYGON ((-86.9168415574156 32.6639487742777,-86.712251799818 32.6613715952059,-86.7158410938109 32.706042699117,-86.414340398404 32.7077608184982,-86.410751104411 32.4096671058611,-86.4574119263193 32.4062308670987,-86.4610012203122 32.377881897309,-86.4968941602416 32.3443785693757,-86.532787100171 32.3383651515415,-86.5435549821498 32.3632778825688,-86.6153408620086 32.3744456585466,-86.6189301560016 32.4053718074081,-86.654823095931 32.3976402701927,-86.6835374478745 32.3529691662817,-86.712251799818 32.360700703497,-86.7194303878039 32.4027946283363,-86.7768590916909 32.3942040314303,-86.773269797698 32.3409423306133,-86.7983948556486 32.3082980623706,-86.8163413256133 32.3409423306133,-86.8163413256133 32.3710094197842,-86.8450556775568 32.4002174492645,-86.8235199135991 32.4251301802918,-86.8594128535285 32.4509019710097,-86.9060736754367 32.5368079400694,-86.8988950874509 32.5677340889309,-86.9168415574156 32.6639487742777))",0.424330125354322,-0.835493649091999,0.118735118050312,0.491655785006334,0.677309501788368,-0.426179130481283,-0.477679496516941,-0.49347339664919,-0.392550656942431,Autauga,1,-0.0866417210946788,0.0325359221993743,0.0684556991304355,-1.00649198243156,0.0231674072348221,0.820082078591486,0.049059828766635,0.0772457750664774,0.0276034279479682,0.0436838585774649,0.0805400597773949,0.200904930480616,0.0518403060943077,-0.0391540069038699,0.0481857081695594,0.160808004704407,0.147883478228268,0.0627217624071073,0.0691510137759805,0.235626249717622
"POLYGON ((-88.0079869312693 30.6846752471425,-88.025933401234 30.7534000223902,-87.9864511673117 30.8118160813508,-87.9433796393964 30.8272791557816,-87.9792725793258 30.8616415434054,-87.9828618733187 30.8865542744327,-87.9254331694317 30.9355206767968,-87.964915403354 30.9681649450394,-87.964915403354 31.0085407504975,-87.9397903454035 31.048057496265,-87.9756832853328 31.0892923614136,-87.9397903454035 31.1468493606836,-87.9720939913399 31.1623124351143,-87.9397903454035 31.1631714948049,-87.9469689333893 31.1932385839758,-87.9146652874529 31.1872251661417,-87.8680044655447 31.2155741359314,-87.8285222316223 31.2757083142731,-87.785450703707 31.2825807917979,-87.8105757616576 31.3066344631346,-87.7639149397494 31.2971848065381,-87.7172541178412 31.3031982243722,-87.6777718839188 31.2619633592236,-87.6167538860389 31.2447821654116,-87.6167538860389 30.9973729745197,-87.5988074160742 30.9973729745197,-87.5880395340953 30.9647287062771,-87.6347003560036 30.8659368418584,-87.6275217680177 30.8461784689747,-87.5449680061801 30.7783127534175,-87.5342001242012 30.7430913061031,-87.4049855404554 30.6743665308553,-87.3942176584766 30.6150914122041,-87.4480570683707 30.5274673237632,-87.4372891863919 30.4802190407804,-87.3655033065331 30.43640699656,-87.430110598406 30.4063399073891,-87.4588249503495 30.3358970127601,-87.491128596286 30.3230111174012,-87.4660035383354 30.3023936848268,-87.5198429482295 30.2800581328713,-87.6562361199612 30.2499910437004,-87.7998078796788 30.2293736111261,-88.0008083432834 30.2259373723637,-87.9362010514105 30.2611588196782,-87.8931295234952 30.2388232677227,-87.7675042337423 30.2620178793688,-87.7567363517635 30.2912259088491,-87.8105757616576 30.3324607739977,-87.8357008196082 30.3694003406934,-87.907486699467 30.4097761461515,-87.9326117574176 30.4870915183052,-87.9003081114811 30.5506619354094,-87.9110759934599 30.6159504718947,-87.9362010514105 30.6571853370434,-88.0079869312693 30.6846752471425))",0.609912470144633,0.248602064761531,-0.412186090808852,1.04895459801879,0.0105845861077019,-0.179497289418413,-0.348494745098318,-0.132472786109792,-0.683013762631591,Baldwin,1,-0.0877234276137411,0.0307272082982528,0.0863176531260968,-1.10435644945104,0.034174075331506,0.926332802113103,0.0605427836151443,0.118852573962222,0.0380625593724783,0.0152531390904316,0.103645895659349,0.219038159724463,0.0592194820110682,-0.137109381549893,0.0614357381812545,0.0941174654964071,0.175285632376741,-0.0734957228380762,0.0788489272412889,0.272534179153783
"POLYGON ((-85.6569993658937 31.8804863364534,-85.6498207779078 31.9114124853148,-85.6031599559996 31.9612379473695,-85.5923920740207 31.9938822156122,-85.5134276061761 31.9998956334463,-85.5134276061761 32.0136405884959,-85.4272845503455 32.0153587078771,-85.4272845503455 32.139063303323,-85.4093380803808 32.1467948405384,-85.2585877326773 32.147653900229,-85.1868018528185 32.0617479311693,-85.0504086810868 32.0626069908599,-85.0611765630656 31.9904459768498,-85.0791230330303 31.9397614551045,-85.1293731489315 31.8779091573816,-85.1401410309103 31.8392514713047,-85.1257838549385 31.7799763526535,-85.1257838549385 31.7627951588416,-85.1473196188962 31.7731038751287,-85.2047483227832 31.7421777262673,-85.215516204762 31.7026609804998,-85.4165166683667 31.7069562789528,-85.4165166683667 31.6193321905119,-85.7467317157172 31.6184731308213,-85.7144280697807 31.6605670556606,-85.7180173637736 31.6983656820468,-85.696481599816 31.7481911441014,-85.6641779538795 31.7834125914159,-85.6785351298513 31.8564326651166,-85.6569993658937 31.8804863364534))",-0.26582061595758,-0.0549447351174568,0.181489457569827,-1.08560500653835,2.64311698513549,-0.35569860446332,-0.362848606367053,0.348861361276071,0.760330518541654,Barbour,1,-0.0853922899226836,0.0318695040421126,0.0670532536491164,-0.950590357337614,0.0250154076613286,0.833613982068187,0.0466783244728282,0.0642221970576587,0.028084326883974,0.0424587735916864,0.0645796829370581,0.143535512057867,0.0495932201742155,-0.064702375673995,0.0508179819053302,0.238558728375691,0.135132960360291,0.237122082420264,0.0675028761977214,0.204646117862599
"POLYGON ((-87.4229320104201 33.0032773520635,-87.3188424846248 33.0058545311353,-87.311663896639 33.0943376792668,-87.2829495446954 33.1329953653436,-87.2003957828578 33.1304181862719,-87.2003957828578 33.1965657824478,-87.1537349609496 33.2326462894529,-87.1034848450484 33.2214785134751,-87.0640026111261 33.247250304193,-87.0281096711967 33.2463912445024,-87.0245203772038 33.1656396335863,-86.9706809673097 33.157908096371,-86.9706809673097 33.0986329777198,-86.9347880273803 33.0642705900959,-86.8809486174862 33.0496665753558,-86.8773593234932 32.8366197720877,-87.0209310832108 32.8366197720877,-87.3188424846248 32.8314654139441,-87.3188424846248 32.8752774581646,-87.4229320104201 32.874418398474,-87.4229320104201 33.0032773520635))",-0.116330855342224,-0.640356420598364,-0.0253846511132503,-1.21178586986192,0.904133442174574,-0.567140182517209,-0.492033357785677,0.228527824429605,-0.797128051443754,Bibb,1,-0.0871284046857166,0.0329976617505629,0.0681465041367286,-0.987957769536235,0.0238898111584346,0.800739475364243,0.0490129943978695,0.0790171528435111,0.0272899654053406,0.0469032457069857,0.0890161322586412,0.225915591677844,0.0512370693614917,-0.0217966985445685,0.0464896142226258,0.138149334313511,0.151713849105094,-0.0197499139790222,0.0697900902029988,0.23965430050036
"POLYGON ((-86.9635023793238 33.8580417442074,-86.9204308514085 33.8735048186382,-86.9240201454015 33.9095853256432,-86.8845379114791 33.9173168628586,-86.8199306196062 33.9576926683167,-86.7912162676627 33.9525383101731,-86.7014839178392 34.0393033389234,-86.7050732118321 34.0813972637626,-86.6691802719027 34.084833502525,-86.6691802719027 34.084833502525,-86.654823095931 34.1071690544805,-86.6009836860369 34.1191958901489,-86.5184299241992 34.2523501421914,-86.4538226323263 34.2592226197162,-86.410751104411 34.2051018592086,-86.3030722846228 34.0994375172652,-86.3317866365664 34.040162398614,-86.3317866365664 33.9860416381064,-86.3712688704887 33.9396524148141,-86.3246080485805 33.9405114745047,-86.3425545185452 33.8863907139971,-86.4071618104181 33.8357061922519,-86.5758586280863 33.8022028643186,-86.5794479220792 33.765263297623,-86.6476445079451 33.7661223573136,-86.7589126217262 33.8408605503955,-86.8845379114791 33.8434377294673,-86.952734497345 33.8150887596776,-86.9635023793238 33.8580417442074))",0.404470569310245,-0.206718135056952,-0.19860666679987,-0.927878927383878,-0.518671274793445,-0.0385362373824873,-0.0111790052830237,0.248583413904016,-1.48951682005198,Blount,1,-0.0865660513257199,0.0339814514396531,0.0646255694389577,-0.813664518088906,0.0324799825656983,0.722997325598496,0.0455139191917651,0.0556792994069808,0.0259868824414378,0.0661546163847901,0.0880605256445719,0.196782451600542,0.0508506024272323,0.034718869898643,0.0441850763215404,0.181232788984295,0.142106041158297,0.00410241519819787,0.0713384834291991,0.232046479956864
"POLYGON ((-85.9190178273783 32.2747947344373,-85.8795355934559 32.2911168685587,-85.8579998294983 32.2318417499075,-85.4344631383314 32.2344189289793,-85.4272845503455 32.1467948405384,-85.4093380803808 32.1467948405384,-85.4272845503455 32.139063303323,-85.4272845503455 32.0153587078771,-85.5134276061761 32.0136405884959,-85.5134276061761 31.9998956334463,-85.5923920740207 31.9938822156122,-85.6031599559996 31.9612379473695,-85.6498207779078 31.9114124853148,-85.6569993658937 31.8804863364534,-85.7898032436324 31.8804863364534,-85.7898032436324 31.9672513652036,-85.8831248874489 31.9672513652036,-85.8938927694277 32.0471439164292,-85.997982295223 32.0514392148821,-85.997982295223 32.2507410631006,-85.9872144132441 32.2722175553656,-85.9190178273783 32.2747947344373))",-0.572888451545963,-0.618674506321293,0.453869744217601,-1.03302964682019,4.51269613013694,-0.708101234553135,-0.492033357785677,0.368916950750482,2.54263470866126,Bullock,1,-0.0857159849715623,0.0321006443805947,0.0670370718948616,-0.970562335503306,0.0238922930427743,0.828744076039491,0.0472295000733629,0.0673423735520055,0.0275938225413044,0.0436996767610556,0.0674884163803589,0.157145990931981,0.050482360881732,-0.0549948664553391,0.0498394097758661,0.218334170431416,0.137757523557262,0.196061003977918,0.0676586610302114,0.214146755419564
"POLYGON ((-86.8558235595356 31.9620970070601,-86.4466440443404 31.9646741861319,-86.4466440443404 31.7009428611186,-86.4502333383334 31.655412697517,-86.5004834542345 31.655412697517,-86.5004834542345 31.5256946842368,-86.7014839178392 31.5239765648556,-86.8378770895709 31.5248356245462,-86.8665914415144 31.5463121168112,-86.9060736754367 31.6322180858709,-86.9060736754367 31.753345502245,-86.9060736754367 31.8306608743987,-86.9096629694297 31.9620970070601,-86.8558235595356 31.9620970070601))",-0.317919399208206,0.183556321930319,-0.23208664070533,-0.612426769074942,2.49190102487802,-0.690481103048644,-0.578156525398092,-0.172583965058615,0.509908282444809,Butler,1,-0.0866808363050666,0.0317526208541001,0.07340755769269,-1.045000297285,0.0255286309510888,0.86331324405211,0.0521156745183747,0.0878802628105677,0.0304084522314221,0.0329363767009011,0.0825159068543658,0.198957265632689,0.0533084748786937,-0.0792235451036062,0.0527413867424352,0.150372904623887,0.155646371048929,0.0752191037111739,0.0714897073490126,0.242686075867858
"POLYGON ((-86.0661788810888 33.8425786697767,-85.99439300123 33.8649142217322,-85.9692679432794 33.9147396837868,-85.9010713574136 33.9061490868809,-85.9010713574136 33.9430886535765,-85.8472319475195 33.9568336086261,-85.7395531277313 33.9353571163612,-85.7395531277313 33.9688604442944,-85.5277847821478 33.9559745489355,-85.5313740761408 33.9413705341953,-85.5313740761408 33.8889678930689,-85.6031599559996 33.8898269527595,-85.635463601936 33.8752229380194,-85.635463601936 33.8468739682297,-85.5852134860349 33.8460149085391,-85.5852134860349 33.8022028643186,-85.639052895929 33.7729948348383,-85.639052895929 33.6484311797018,-85.6569993658937 33.6269546874369,-85.7431424217242 33.6003238370284,-85.7431424217242 33.5556527331173,-85.7969818316183 33.5565117928079,-85.7933925376254 33.5857198222882,-85.99439300123 33.5865788819788,-86.0231073531735 33.601182896719,-86.0266966471665 33.6467130603206,-86.0482324111241 33.6733439107291,-86.1451433489335 33.6793573285633,-86.1451433489335 33.7094244177342,-86.0446431171312 33.7626861185512,-86.0661788810888 33.8425786697767))",0.837133675395259,-0.358491534996446,0.37625154732077,-0.360065042427793,0.801031651089935,-0.35569860446332,-0.405910190173261,-0.0121392492633267,-0.220022167366104,Calhoun,1,-0.0858259134843536,0.0337711583792014,0.0618578788268327,-0.811552420081365,0.030744936959236,0.72741922446575,0.0427420424741274,0.053704458662627,0.0251483100128223,0.0679916564156621,0.0765240883365246,0.158320001957154,0.0497212048008333,0.0290176220216914,0.0428719579702825,0.227416922423972,0.13054477079321,0.0976142675262217,0.0674326815539869,0.21242797848334
"POLYGON ((-85.5923920740207 33.1072235746257,-85.2334626747267 33.1080826343163,-85.1868018528185 32.870123100021,-85.1544982068821 32.8426331899219,-85.1688553828538 32.8117070410604,-85.1221945609456 32.7730493549835,-85.1293731489315 32.7515728627186,-85.2837127906279 32.7455594448844,-85.2944806726067 32.7309554301443,-85.5923920740207 32.7283782510725,-85.5923920740207 33.1072235746257))",0.135808966417788,0.0751467505449664,0.0628709843403451,-0.906848783496615,2.09324076601741,-0.514279788003737,-0.506387219054413,0.148305466531961,0.511402684031126,Chambers,1,-0.0853921383158469,0.0329133146598094,0.0618204177571807,-0.903210606965598,0.0235910452007246,0.782578905279261,0.0428209128874504,0.0594001778441643,0.0251788045882768,0.0572315325681211,0.0640567046715774,0.139647687056592,0.0484040645607471,-0.0159998016235081,0.044815091093657,0.250504095653485,0.12563955865757,0.197635156601549,0.064177611540083,0.199697096541555
"POLYGON ((-85.5134276061761 34.52381300442,-85.4631774902749 34.2867125298153,-85.4201059623596 34.080538204072,-85.398570198402 33.9637060861509,-85.4954811362114 33.9568336086261,-85.5313740761408 33.9413705341953,-85.5277847821478 33.9559745489355,-85.7395531277313 33.9688604442944,-85.7359638337383 33.9894778768688,-85.7969818316183 34.1002965769558,-85.7898032436324 34.1252093079831,-85.8400533595336 34.1106052932429,-85.8436426535265 34.199947501065,-85.8436426535265 34.244618604976,-85.8077497135971 34.2394642468325,-85.6749458358584 34.3434104693947,-85.635463601936 34.3666050810408,-85.578034898049 34.4396251547415,-85.578034898049 34.483437198962,-85.5134276061761 34.52381300442))",-0.0127069206794268,0.768968007411226,-0.582495488242145,-0.959424143214771,-0.312467692624167,-0.672860971544153,-0.563802664129356,-0.192639554533026,-1.2643555337324,Cherokee,1,-0.0856040970082684,0.0341755224905853,0.0617251906118583,-0.729978569043391,0.0359952303023071,0.702389744818866,0.040997139076796,0.0517533182449997,0.0250168671463783,0.0758795354922347,0.0784747135290804,0.146435878292301,0.0487918258149715,0.0463392140530811,0.0417797017010106,0.245620944775116,0.128880016378689,0.0888837681463401,0.0676231545031161,0.203456078355086
